,id_unit,kelurahan,kecamatan,rt,rw,kedalaman_rata_rata,durasi_rendaman,kelas
77,3172050007001000,CAWANG,KRAMAT JATI,,001,50.0,0.25,A1
78,3172050007002000,CAWANG,KRAMAT JATI,,002,50.0,0.25,A1
79,3172050007005000,CAWANG,KRAMAT JATI,,005,50.0,0.25,A1
80,3172050007007000,CAWANG,KRAMAT JATI,,007,0.0,0.25,A4
81,3172050007008000,CAWANG,KRAMAT JATI,,008,50.0,0.25,A1
82,3172050007009000,CAWANG,KRAMAT JATI,,009,0.0,0.25,A4
83,3172050007010000,CAWANG,KRAMAT JATI,,010,0.0,0.25,A4
84,3172050007012000,CAWANG,KRAMAT JATI,,012,50.0,0.25,A1
85,3172050001001000,BALE KAMBANG,KRAMAT JATI,,001,0.0,0.25,A4
86,3172050001002000,BALE KAMBANG,KRAMAT JATI,,002,0.0,0.25,A4
87,3172050001003000,BALE KAMBANG,KRAMAT JATI,,003,0.0,0.25,A4
88,3172050001004000,BALE KAMBANG,KRAMAT JATI,,004,0.0,0.25,A4
89,3172050001005000,BALE KAMBANG,KRAMAT JATI,,005,0.0,0.25,A4
90,3172050006013000,CILILITAN,KRAMAT JATI,,013,0.0,0.25,A4
91,3172010005004000,GEDONG,PASAR REBO,,004,0.0,0.25,A4
92,3172010005011000,GEDONG,PASAR REBO,,011,50.0,0.25,A1
93,3172010005001000,GEDONG,PASAR REBO,,001,0.0,0.25,A4
94,3172010005002000,GEDONG,PASAR REBO,,002,0.0,0.25,A4
95,3172010005003000,GEDONG,PASAR REBO,,003,80.0,0.25,A2
96,3172010005006000,GEDONG,PASAR REBO,,006,0.0,0.25,A4
97,3172010005007000,GEDONG,PASAR REBO,,007,0.0,0.25,A4
98,3172010005008000,GEDONG,PASAR REBO,,008,0.0,0.25,A4
99,3172010005012000,GEDONG,PASAR REBO,,012,0.0,0.25,A4
